seg_dice,seg_f1,seg_precision,seg_recall,seg_accuracy,configuracion,bbox_AP,bbox_AP50,bbox_AP75,bbox_APs,bbox_APm,bbox_APl,segm_AP,segm_AP50,segm_AP75,segm_APs,segm_APm,segm_APl
0.44509393469469755,0.4450939396471198,0.5528470147763941,0.4026856422855796,0.9983143013559128,mask_rcnn_R_101_FPN_3x.yaml_FLAIR_10000_horizontal_4_20250730_212915,26.087897912083218,54.97032323696691,21.55925998790897,26.31843695192725,,,22.715492357573826,52.57582938718392,16.658229495461622,22.71587985116332,,
0.4104028630474058,0.4104028672519926,0.5420807091206216,0.3594554710476341,0.9980033388506894,mask_rcnn_R_101_FPN_3x.yaml_RGB_5000_horizontal_6_20250730_220340,21.975216084630336,49.69814930595684,16.626830595947943,22.167832256062,,,18.99560313106256,48.076357973277425,11.356578447379873,18.99793484727306,,
0.4388540004049905,0.4388540053570646,0.547962515616396,0.3961785858529458,0.9983614550587028,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_15000_vertical_4_20250730_222754,24.92205547760636,53.27585419089529,20.497519063719384,25.250484384992244,,,21.57692006283624,50.59874970386472,16.103302886899467,21.57692006283624,,
0.41650740110442774,0.4165074058244484,0.5255837145836937,0.37207162139419947,0.9982039071452588,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_15000_horizontal_6_20250730_230913,24.88483470709943,53.389229366631554,20.21775998241784,25.09560152540451,,,21.102017863891994,50.82890153191969,15.576314600637634,21.102750944620922,,
0.43522247081133103,0.4352224758912322,0.5472309409452535,0.39148290193721247,0.9983965652680533,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_15000_vertical_6_20250731_000559,24.818117033263466,53.49001488711621,19.88581776150162,25.003570614028874,,,21.251317735885102,51.21117847336486,16.038637338407465,21.251317735885102,,
0.3934087389544994,0.3934087432083345,0.5284816343750116,0.3443100106416113,0.9980547967381946,mask_rcnn_R_101_FPN_3x.yaml_RGB_15000_none_6_20250731_010300,21.458209935232535,48.69416207988581,16.02911297208804,21.638028788791203,,,17.323777420637263,46.11092301692107,10.327629371075945,17.326590169377415,,
0.4004689471525796,0.4004689511769629,0.540544866109196,0.3440521015721256,0.9980044920705258,mask_rcnn_R_50_FPN_3x.yaml_RGB_7000_vertical_8_20250731_021008,20.251858626153645,46.72980807078944,14.094718202053874,20.444049100898702,,,16.98763928667054,44.56674704570786,9.534534249322562,16.9896100217938,,
0.41182448653874193,0.41182449123913745,0.528205056100001,0.36507182876162286,0.9980949391599572,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_5000_none_6_20250731_024443,24.114240790794543,52.6893961838488,18.96894207028573,24.370979023638352,,,21.152776804636492,49.864354475636475,15.020535352552722,21.152776804636492,,
0.39403872753408886,0.39403873166500836,0.5293713524562881,0.34101581708547635,0.9977610155172022,mask_rcnn_R_50_FPN_3x.yaml_RGB_7000_none_6_20250731_030600,21.677257039948145,49.033789818239335,16.117011238472127,21.88947260857614,,,18.50554603125125,47.31777269730541,11.951666939415226,18.509618413621183,,
0.4124396909424033,0.4124396952453853,0.5469884313350639,0.36081282496453143,0.9978651322020101,mask_rcnn_R_101_FPN_3x.yaml_RGB_5000_vertical_6_20250731_033411,21.904903399753184,48.60522790097595,16.496493385640278,22.26028883761886,,,18.677748942510288,46.90076825842018,10.791792805705615,18.680007139970243,,
0.4271757623099485,0.42717576720664824,0.5233383710546208,0.39193436340511983,0.99800627817883,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_10000_horizontal_4_20250731_035819,24.35804762802534,52.34141759382436,19.865861670018287,24.655819893957894,,,21.064050022333227,49.12251648616879,16.04830137034255,21.064050022333227,,
0.4548397415656504,0.45483974682390055,0.551200425557637,0.42131511127988824,0.9984520372593766,mask_rcnn_R_101_FPN_3x.yaml_FLAIR_10000_vertical_4_20250731_042700,27.00494292433827,57.00377129843341,22.233079939719264,27.371532546319145,,,22.914679288870246,54.01202993903278,16.44918506877877,22.920374712937914,,
--- size image 364 x 436
0.43849990517671883,0.43849991012833994,0.538092982741583,0.4018476132612071,0.9983092777195942,mask_rcnn_R_101_FPN_3x.yaml_FLAIR_10000_horizontal_4_20250731_085015,25.57302182240404,54.30855029136241,21.179270697140325,25.827242088662782,,,22.310117976004648,52.53626342631059,16.756759183515385,22.312552298329255,,
0.39190220991921654,0.39190221382181056,0.5190231912033472,0.3412548423175425,0.997707348406759,mask_rcnn_R_50_FPN_3x.yaml_RGB_7000_vertical_4_20250731_092451,20.282238518499778,45.42832668988295,14.753882682359972,20.551252501517993,,,18.030406907419614,45.09497410011891,11.151750147103664,18.039552496534775,,
0.4521892817378653,0.4521892869156022,0.5495097801512772,0.4173089135967868,0.9983928207131962,mask_rcnn_R_101_FPN_3x.yaml_FLAIR_10000_vertical_4_20250731_094541,26.77481341381387,56.12352757361161,22.396965232378236,27.106003133117383,,,23.219884355340497,54.34956268096097,17.40161712715315,23.219884355340497,,
0.4255765065572176,0.42557651146513653,0.5357429456907595,0.3827749784559777,0.9981939280602788,mask_rcnn_R_50_FPN_3x.yaml_FLAIR_10000_none_4_20250731_101931,24.853837640339368,54.22119645053112,19.411837198855867,25.06015406973373,,,21.320765369597396,51.151092650087925,15.365693344068095,21.32169495444024,,
0.40323444871327296,0.40323445273672676,0.5356321438799992,0.35136210561772047,0.9975871857441698,mask_rcnn_R_101_FPN_3x.yaml_RGB_5000_vertical_4_20250731_104833,20.47426113697912,46.17090731145906,14.63258189952331,20.787010615641975,,,18.116572426002904,44.82478841329881,10.23570339994297,18.13327112930392,,
